District,Frequency,Median,Maximum,Variation,Remoteness,HDI,Frequency (/1),Median (/1),Maximum (/1),Variation (/1),Remoteness (/1),HDI (/1),Total (/6),Robinson_Risk_Score
Rolpa,5.055555555555555,608.265,1636.0,0.4090973663816723,5.497302380952381,0.395,0.61,0.2131394927536232,0.010939749126053878,0.734155676731955,0.6064384697699305,0.8843283582089552,3.0590017465905177,1.0
Rukum,4.6,563.375,1532.0,0.41184090385204875,4.505555555555556,0.431,0.62,0.21955515297906603,0.01139366798424993,0.7423151398358703,0.4950062421972534,0.75,2.8382702029964397,0.9278419687598742
Rupandehi,8.944444444444445,1024.5,9096.0,0.23107300295577818,1.798139880952381,0.498,0.70625,0.22475090579710144,0.03869353622592364,0.20469936689257529,0.19080223381487427,0.5,1.8651960427304746,0.609740103878454
Salyan,5.133333333333333,516.0,1814.0,0.36136139656900745,4.66047619047619,0.441,0.624,0.17971014492753623,0.012159846459661389,0.592185724208359,0.5124130551096844,0.7126865671641791,2.6331553378694204,0.8607890926522894
Sangkhuwasabha,3.488888888888889,362.5,891.0,0.478659090909091,5.184033333333334,0.488,0.32799999999999996,0.12409420289855073,0.005833161971348276,0.9410368769542025,0.5712397003745318,0.5373134328358209,2.507517375034454,0.819717536228695
Saptari,5.866666666666666,292.005,1726.0,0.2840277777777778,1.4366973104056437,0.437,0.2866666666666667,0.051530797101449276,0.006298504961881478,0.36219039298632805,0.15019070903434198,0.7276119402985075,1.584489011049175,0.5179758438566452
Sarlahi,6.888888888888888,242.4,1766.0,0.2875949659765376,2.9196785714285713,0.402,0.31999999999999995,0.03666666666666667,0.005778326136129961,0.3727994481958086,0.3168178170144462,0.8582089552238805,1.910271213236932,0.6244753587885556
Sindhuli,3.8666666666666667,458.5,1399.0,0.38566940566940566,5.305291005291005,0.44,0.47333333333333333,0.17733494363929148,0.010380728250356052,0.6644793617204869,0.5848641578978657,0.7164179104477612,2.6268104352890944,0.8587149184262048
Sindhupalchowk,4.988888888888889,667.5,2229.0,0.35784371501089773,5.312781385281386,0.455,0.4483333333333333,0.19429347826086954,0.012458016313660976,0.5817239050443653,0.585705773627122,0.6604477611940298,2.482962267773381,0.8116903726978335
Siraha,5.4222222222222225,364.0,2035.0,0.29128883015024265,2.7026589423648244,0.408,0.2741176470588235,0.07033248081841433,0.007931035873119554,0.38378524618896864,0.2924335890297556,0.8358208955223881,1.8644208944914697,0.609486704794956
Solukhumbu,2.6888888888888887,320.725,739.0,0.5115885416666668,5.959077380952381,0.502,0.305,0.13800951086956523,0.0060576461717732535,0.957649122907853,0.6583233012306046,0.4850746268656716,2.5501142080454677,0.8336426126228131
Sunsari,3.966666666666667,414.38,3113.0,0.3217222787069301,1.8286111111111112,0.496,0.295,0.1178683574879227,0.017507482806680835,0.47429634848097435,0.19422596754057428,0.5074626865671642,1.6063608428833165,0.5251258338357354
Surkhet,4.188888888888889,480.0,2523.0,0.3389182214381113,4.678174603174603,0.476,0.5377777777777778,0.1859903381642512,0.018941211414993032,0.5254382270837332,0.5144016408061352,0.5820895522388061,2.3646387474856967,0.7730099370231679
Syangja,5.7555555555555555,794.31,2469.0,0.38108363765482595,3.036264069264069,0.527,0.6418181818181818,0.25438405797101454,0.015111011409592532,0.6508409823208633,0.3299173111532662,0.3917910447761193,2.283862589449038,0.7466038853997291
Tanahun,5.2444444444444445,865.57,2817.0,0.3708149122099433,3.3181527777777773,0.506,0.644,0.30636594202898554,0.019034889300157655,0.6203011091474677,0.3615901997503121,0.4701492537313433,2.421441393958266,0.7915789510931599
Taplejung,2.988888888888889,336.0,835.0,0.46742496807151984,5.377513227513227,0.494,0.2977777777777778,0.1280193236714976,0.006085254491588031,0.9020043680415935,0.5929790143273289,0.5149253731343284,2.441791111444114,0.7982313557570438
Terhathum,2.022222222222222,308.5,708.0,0.5296774193548387,3.9825396825396826,0.527,0.30666666666666664,0.17904589371980675,0.007814106518609911,0.912939021954311,0.43624041376850364,0.3917910447761194,2.234497147404017,0.730466123432106
Udaypur,2.6333333333333333,354.5,1116.0,0.4203475569562889,5.304166666666667,0.475,0.2925,0.15330615942028986,0.009287819590102131,0.7577009372784972,0.5847378277153559,0.5858208955223881,2.383353639526633,0.779127910660089
lamjung,3.7555555555555555,405.36,1391.0,0.37561863315983013,5.274295634920635,0.507,0.5449999999999999,0.1763405797101449,0.011644046884639112,0.634587695088183,0.5813815320135545,0.46641791044776115,2.4153717641442825,0.7895947646438554
